scenario_id,in_scala_ats,in_ustaxes_node_ats,backend_cloudflare_tested,scala_files,node_files,backend_test_files,coverage_gap
S1,YES,YES,YES,scenario-1-tara-black.json,scenario1.test.ts,test/ats/scenario1.acceptance.test.ts|test/ats/scenario1.reject-missing-tin.test.ts|test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S2,YES,YES,YES,scenario-2-jones.json,scenario2.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S3,YES,YES,YES,scenario-3-heather.json,scenario3.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S4,YES,YES,YES,scenario-4-smith.json,scenario4.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S5,YES,YES,YES,scenario-5-barker.json,scenario5.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S6,YES,YES,YES,scenario-6-torres.json,scenario6.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S7,YES,YES,YES,scenario-7-boone.json,scenario7.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S8,YES,YES,YES,scenario-8-lewis.json,scenario8.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S12,YES,YES,YES,scenario-12-gardenia.json,scenario12.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S13,YES,YES,YES,scenario-13-birch.json,scenario13.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S14,YES,YES,YES,scenario-14-martinez-gig.json,scenario14.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S15,YES,YES,YES,scenario-15-wilson-retired.json,scenario15.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S16,YES,YES,YES,scenario-16-johnson-student.json,scenario16.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S17,YES,YES,YES,scenario-17-patel-investor.json,scenario17.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S18,YES,YES,YES,scenario-18-thompson-rental.json,scenario18.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S19,YES,YES,YES,scenario-19-garcia-itemized.json,scenario19.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S20,YES,YES,YES,scenario-20-lee-healthcare.json,scenario20.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S21,YES,YES,YES,scenario-21-kim-childcare.json,scenario21.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S22,YES,YES,YES,scenario-22-nguyen-crypto.json,scenario22.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S23,YES,YES,YES,scenario-23-brown-military.json,scenario23.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S24,YES,YES,YES,scenario-24-davis-clergy.json,scenario24.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S25,YES,NO,YES,scenario-25-anderson-hsa.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S26,YES,NO,YES,scenario-26-clark-foreign.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S27,YES,NO,YES,scenario-27-moore-energy.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S28,YES,NO,YES,scenario-28-taylor-qbi.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S29,YES,NO,YES,scenario-29-white-k1.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S30,YES,NO,YES,scenario-30-harris-unemployment.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S31,YES,NO,YES,scenario-31-jackson-gambling.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S32,YES,NO,YES,scenario-32-chen-ev.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
S33,YES,NO,YES,scenario-33-wright-amt.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
NR1,YES,YES,YES,scenario-nr1-leblanc.json,scenarioNR1.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
NR2,YES,YES,YES,scenario-nr2-desilva.json,scenarioNR2.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
NR3,YES,YES,YES,scenario-nr3-alfaro.json,scenarioNR3.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
NR4,YES,YES,YES,scenario-nr4-hill.json,scenarioNR4.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
NR5,YES,NO,YES,scenario-nr5-chen.json,,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
NR12,YES,YES,YES,scenario-nr12-harrier.json,scenarioNR12.test.ts,test/ats/fullScenarioMatrix.acceptance.test.ts,NO
