workbook_label,workbook_file,defined_name,value,destinations,logical_area,ustaxes_files,direct_file_files,backend_files,coverage_status,notes
2024,24_1040.xlsx,Additional_Income,'Sch. 1'!$AC$56,"[{""sheet"": ""Sch. 1"", ""coord"": ""$AC$56""}]",schedule_1,"[""src/forms/Y2025/irsForms/Schedule1.ts""]",[],"[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",missing_direct_file_mapping,Additional income and adjustments.
2024,24_1040.xlsx,AdditionalCTC,'8812'!$AL$88,"[{""sheet"": ""8812"", ""coord"": ""$AL$88""}]",form_8812,"[""src/forms/Y2025/irsForms/Schedule8812.ts""]","[""direct-file/backend/src/main/resources/tax/form8812.xml"", ""direct-file/backend/src/main/resources/tax/schedule8812.xml""]","[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",mapped,Child tax credit and additional child tax credit.
2024,24_1040.xlsx,Address,'1040'!$B$11,"[{""sheet"": ""1040"", ""coord"": ""$B$11""}]",form_1040,"[""src/forms/Y2025/irsForms/F1040.ts""]","[""direct-file/backend/src/main/resources/tax/form1040SR.xml""]","[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",mapped,Primary return and totals.
2024,24_1040.xlsx,Adj_Gross_Inc,'1040'!$AD$66,"[{""sheet"": ""1040"", ""coord"": ""$AD$66""}]",form_1040,"[""src/forms/Y2025/irsForms/F1040.ts""]","[""direct-file/backend/src/main/resources/tax/form1040SR.xml""]","[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",mapped,Primary return and totals.
2024,24_1040.xlsx,AdjustToIncome,'Sch. 1'!$AC$98,"[{""sheet"": ""Sch. 1"", ""coord"": ""$AC$98""}]",schedule_1,"[""src/forms/Y2025/irsForms/Schedule1.ts""]",[],"[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",missing_direct_file_mapping,Additional income and adjustments.
2024,24_1040.xlsx,AdoptCredit,'Sch. 3'!$W$20,"[{""sheet"": ""Sch. 3"", ""coord"": ""$W$20""}]",schedule_3,"[""src/forms/Y2025/irsForms/F2441.ts"", ""src/forms/Y2025/irsForms/F8863.ts"", ""src/forms/Y2025/irsForms/F5695.ts"", ""src/forms/Y2025/irsForms/F8801.ts""]","[""direct-file/backend/src/main/resources/tax/form2441.xml"", ""direct-file/backend/src/main/resources/tax/form8863.xml"", ""direct-file/backend/src/main/resources/tax/form5695.xml"", ""direct-file/backend/src/main/resources/tax/form8801.xml""]","[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",mapped,Nonrefundable and refundable credits.
2024,24_1040.xlsx,AgPMT_Disaster,'1099-G'!$I$31,"[{""sheet"": ""1099-G"", ""coord"": ""$I$31""}]",1099_g,"[""src/forms/Y2025/irsForms/Schedule1.ts"", ""src/forms/Y2025/irsForms/F1040.ts""]",[],"[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",missing_direct_file_mapping,Unemployment and state refund intake.
2024,24_1040.xlsx,AgPMT_Other,'1099-G'!$I$32,"[{""sheet"": ""1099-G"", ""coord"": ""$I$32""}]",1099_g,"[""src/forms/Y2025/irsForms/Schedule1.ts"", ""src/forms/Y2025/irsForms/F1040.ts""]",[],"[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",missing_direct_file_mapping,Unemployment and state refund intake.
2024,24_1040.xlsx,Alaska,'1040'!$BD$8,"[{""sheet"": ""1040"", ""coord"": ""$BD$8""}]",form_1040,"[""src/forms/Y2025/irsForms/F1040.ts""]","[""direct-file/backend/src/main/resources/tax/form1040SR.xml""]","[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",mapped,Primary return and totals.
2024,24_1040.xlsx,Alien_Spouse,'1040'!$F$25,"[{""sheet"": ""1040"", ""coord"": ""$F$25""}]",form_1040,"[""src/forms/Y2025/irsForms/F1040.ts""]","[""direct-file/backend/src/main/resources/tax/form1040SR.xml""]","[""backend-cloudflare/src/services/taxCalculationService.ts"", ""backend-cloudflare/src/services/appSessionService.ts""]",mapped,Primary return and totals.
